control_id,phase,critical,control,acceptance_criteria,action_if_failed,status,performed_at,performed_by,evidence_or_request_id,notes
DAY-001,start_of_day,yes,Authorization and installed baseline,"Site approval is active; release model configuration and labeling exactly match the approved baseline",Stop new analyses invoke downtime and notify Operations and Quality,,,,,
DAY-002,start_of_day,yes,Service readiness,"Live and ready checks pass in controlled mode with expected release and model identity",Stop new analyses preserve evidence and escalate,,,,,
DAY-003,start_of_day,yes,Identity and access,"Named account MFA and expected role/site permissions work; no shared or stale access is observed",Do not bypass access control; contact identity administrator,,,,,
DAY-004,start_of_day,yes,Audit time and monitoring,"Audit chain and immutable export are continuous; clocks synchronized; SIEM has no unresolved integrity alert",Stop new analyses and notify Security Quality and Operations,,,,,
DAY-005,start_of_day,yes,Safety and security notices,"No active stop-use field-action clinical cybersecurity privacy or regulator restriction affects this site/release",Apply notice scope quarantine affected results and escalate,,,,,
DAY-006,start_of_day,yes,Capacity backup and support,"Storage/capacity are within limits; monitoring and last scheduled backup are healthy; support/on-call contacts available",Resolve before use or invoke approved downtime based on risk,,,,,
CASE-001,per_case,yes,Named user and case association,"User is competent and authenticated; case/specimen association verified in the validated laboratory system",Do not analyze; correct through approved workflow,,,,,
CASE-002,per_case,yes,Input suitability,"Specimen tissue stain scanner resolution region file and quality are within approved labeling",Reject input and use validated standard method,,,,,
CASE-003,per_case,yes,Source-overlay review,"Complete source and overlay reviewed including dense edge artifact and clinically important regions",Do not accept output; perform required review or reject,,,,,
CASE-004,per_case,yes,Clinical plausibility and limitations,"No unexplained missed fused fragmented or spurious result undermines the authorized use",Reject output use standard method and report suspected malfunction when applicable,,,,,
CASE-005,per_case,yes,Provenance and export,"Case reference source hash release/model settings result/report hash actor timestamp and audit receipt are correct",Do not associate/export result; preserve request ID and escalate,,,,,
CASE-006,per_case,yes,Exception and complaint recognition,"Failures rejections near misses misleading output possible harm and privacy/security concerns are reported through approved routes",Preserve governed evidence invoke containment/downtime and report immediately,,,,,
DAY-007,end_of_day,yes,Case reconciliation,"Submitted completed rejected failed exported and unresolved cases reconcile; no stale or partial result remains",Quarantine unresolved output investigate and hand over,,,,,
DAY-008,end_of_day,yes,Audit and event reconciliation,"Accepted reports have provenance; audit has no gap; alerts downtime complaints and incidents are recorded and handed over",Stop affected use preserve evidence and escalate,,,,,
