threat_id,asset_or_boundary,threat_or_abuse_case,potential_impact,required_controls,verification,status
THR-001,upload and decoder,malformed decompression-bomb or oversized image exhausts resources or exploits parser,availability compromise or code execution with clinical delay,pre-parser body cap file/pixel limits patched decoder isolation gateway rate/concurrency/time limits,negative corpus fuzz DAST load and container tests,partially_controlled
THR-002,identity gateway,stolen service token or spoofed actor header invokes analysis,unauthorized access privacy breach or false attribution,MFA RBAC site scope stripped headers gateway-only rotating credential named audit,penetration and authorization tests,external_control_pending
THR-003,model mount,checkpoint substitution rollback or unsafe deserialization,arbitrary code or invalid clinical output,weights-only schema exact digest read-only mount signed release rollback prevention,schema tamper and deployment verification,controlled_in_code
THR-004,software supply chain,malicious or vulnerable package action image or build,service compromise or unavailable product,hash locks immutable digests SBOM SAST SCA container scan signed provenance supplier review,clean CI independent scan and signature verification,container_gate_pending
THR-005,audit store,record edit deletion truncation fork or clock manipulation,loss of traceability and incident evidence,hash chain sequence process lock persistent head external immutable export restricted storage trusted time,tamper concurrency gap alert restore and site tests,partially_controlled
THR-006,API and network,traffic interception replay CSRF/CORS misuse or unrestricted egress,data disclosure request manipulation or exfiltration,TLS gateway exact origin service auth replay-safe workflow network segmentation deny egress,DAST gateway and network validation,external_control_pending
THR-007,reports and logs,PHI or secret enters report telemetry support bundle or backup,privacy breach and regulatory harm,data minimization pseudonymous case IDs redaction no pixels/secret logs encryption retention review,log inspection DLP review restore/deletion test,external_control_pending
THR-008,availability,ransomware resource exhaustion power or supplier outage delays workflow,clinical delay or loss of records,capacity limits monitoring downtime procedure backups HA where justified signed rebuild disaster recovery,load soak fault injection restore and DR exercise,external_control_pending
THR-009,administration,excess privilege shared accounts stale access or malicious insider,privacy integrity or availability compromise,named accounts MFA least privilege dual control quarterly review immediate revoke immutable admin logs,access review and insider tabletop,external_control_pending
THR-010,model and input distribution,unsupported scanner stain tissue or adversarial artifact produces plausible wrong output,incorrect quantitative result and over-reliance,validated input envelope OOD/quality rejection labeling source overlay human review drift monitoring,robustness external clinical and human-factors validation,open
THR-011,update channel,unauthorized or failed update creates mixed versions or removes rollback,unvalidated behavior or outage,signed immutable artifacts staged deployment atomic install compatibility check rollback and inventory,IQ OQ rollback and mixed-version tests,external_control_pending
THR-012,privacy interfaces,unauthorized export subject-right action or cross-border transfer,data disclosure record corruption or unlawful processing,approved data flow contracts role checks export logging rights workflow legal hold and transfer controls,DPIA privacy audit and site acceptance,external_control_pending
